"Year","Date","Primary.Type","Location.Description","DISTRICT","Latitude","Longitude","Location","near_bar","near_bar_name","bar_lat","bar_lng","DISTRICT.NAME","distance_range","time","time_cate"
2023,"09/24/2023 09:00:00 AM","CRIMINAL DAMAGE","STREET","2",41.811285051,-87.61109919,"(41.811285051, -87.61109919)",199.916530607903,"THE NEW BONANZA LOUNGE",41.809565471,-87.611809951,"Wentworth","100~200",2024-04-22 09:00:00,"daytime"
2023,"09/24/2023 01:54:00 PM","CRIMINAL DAMAGE","STREET","3",41.771028038,-87.591117472,"(41.771028038, -87.591117472)",449.62573136733,"RED'S NEW GENERATION",41.768967019,-87.586463266,"Grand Crossing","400~500",2024-04-22 13:54:00,"daytime"
2023,"09/25/2023 12:00:00 AM","CRIMINAL DAMAGE","STREET","3",41.770932968,-87.589571579,"(41.770932968, -87.589571579)",338.343611663731,"RED'S NEW GENERATION",41.768967019,-87.586463266,"Grand Crossing","300~400",2024-04-22,"nighttime"
2023,"09/24/2023 04:34:00 PM","ROBBERY","STREET","2",41.798925708,-87.585503517,"(41.798925708, -87.585503517)",91.5405104342208,"THE FALCON",41.799469658,-87.586330988,"Wentworth","80~100",2024-04-22 16:34:00,"daytime"
2023,"09/24/2023 06:50:00 PM","ASSAULT","SIDEWALK","5",41.655619517,-87.616361219,"(41.655619517, -87.616361219)",686.163357883633,"PAUL STROMBECK",41.651314225,-87.610453477,"Calumet","500~1000",2024-04-22 18:50:00,"nighttime"
2023,"09/24/2023 11:00:00 PM","BATTERY","ALLEY","3",41.758907476,-87.598100019,"(41.758907476, -87.598100019)",180.823508129836,"LEE'S UNLEADED BLUES CLUB",41.760530165,-87.597923968,"Grand Crossing","100~200",2024-04-22 23:00:00,"nighttime"
2023,"09/24/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","4",41.753414831,-87.576763632,"(41.753414831, -87.576763632)",1006.82187134799,"NEW CELEBRITY LOUNGE INC",41.744456862,-87.574910022,"South Chicago","1000~1500",2024-04-22 18:00:00,"daytime"
2023,"09/24/2023 12:00:00 PM","CRIMINAL DAMAGE","STREET","5",41.711967479,-87.60782073,"(41.711967479, -87.60782073)",762.87537581597,"MIKE'S LOUNGE",41.70755755,-87.614848221,"Calumet","500~1000",2024-04-22 12:00:00,"daytime"
2023,"09/24/2023 08:20:00 PM","ROBBERY","STREET","4",41.73322286,-87.555483714,"(41.73322286, -87.555483714)",584.124863777733,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","500~1000",2024-04-22 20:20:00,"nighttime"
2023,"09/24/2023 06:00:00 PM","ASSAULT","STREET","3",41.785217955,-87.617368487,"(41.785217955, -87.617368487)",202.940690335593,"CLUB JAMICA",41.783720321,-87.618766985,"Grand Crossing","200~300",2024-04-22 18:00:00,"daytime"
2023,"09/24/2023 01:32:00 PM","ROBBERY","SIDEWALK","3",41.767916535,-87.582330051,"(41.767916535, -87.582330051)",362.943976988105,"RED'S NEW GENERATION",41.768967019,-87.586463266,"Grand Crossing","300~400",2024-04-22 13:32:00,"daytime"
2023,"09/24/2023 01:02:00 AM","BATTERY","SIDEWALK","1",41.852089006,-87.623784345,"(41.852089006, -87.623784345)",40.1353861926329,"BASSLINE",41.851747146,-87.623627758,"Central","40~60",2024-04-22 01:02:00,"nighttime"
2023,"09/24/2023 08:30:00 AM","CRIMINAL DAMAGE","STREET","2",41.808418076,-87.619567769,"(41.808418076, -87.619567769)",235.090558126345,"NEW 113 CLUB",41.809186854,-87.622203627,"Wentworth","200~300",2024-04-22 08:30:00,"daytime"
2023,"09/25/2023 12:00:00 AM","CRIMINAL DAMAGE","STREET","4",41.655021562,-87.550779127,"(41.655021562, -87.550779127)",193.29507982393,"HONEYBEERS",41.655419877,-87.548520155,"South Chicago","100~200",2024-04-22,"nighttime"
2023,"09/23/2023 02:30:00 AM","CRIMINAL DAMAGE","STREET","2",41.812106968,-87.624537577,"(41.812106968, -87.624537577)",377.898383471918,"NEW 113 CLUB",41.809186854,-87.622203627,"Wentworth","300~400",2024-04-22 02:30:00,"nighttime"
2023,"09/24/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","3",41.776598187,-87.58887921,"(41.776598187, -87.58887921)",871.063032646308,"RED'S NEW GENERATION",41.768967019,-87.586463266,"Grand Crossing","500~1000",2024-04-22 18:00:00,"daytime"
2023,"09/24/2023 11:30:00 AM","BATTERY","SIDEWALK","1",41.881624191,-87.629391908,"(41.881624191, -87.629391908)",67.1005212075051,"TRATTORIA #10",41.882215698,-87.629556254,"Central","60~80",2024-04-22 11:30:00,"daytime"
2023,"09/24/2023 03:30:00 PM","CRIMINAL DAMAGE","STREET","4",41.651271699,-87.536243193,"(41.651271699, -87.536243193)",115.286348637357,"UNCLE BOBBY'S",41.651932335,-87.537310669,"South Chicago","100~200",2024-04-22 15:30:00,"daytime"
2023,"09/24/2023 02:00:00 PM","ROBBERY","SIDEWALK","2",41.801979197,-87.623868001,"(41.801979197, -87.623868001)",362.605068333518,"TAC'S COCKTAIL LOUNGE",41.801566341,-87.61953994,"Wentworth","300~400",2024-04-22 14:00:00,"daytime"
2023,"09/24/2023 08:00:00 AM","BATTERY","STREET","5",41.710700023,-87.598385921,"(41.710700023, -87.598385921)",1052.33788640963,"CLAY'S BAR",41.702212398,-87.60400511,"Calumet","1000~1500",2024-04-22 08:00:00,"daytime"
2023,"09/25/2023 01:00:00 PM","ROBBERY","SIDEWALK","3",41.758970818,-87.624778076,"(41.758970818, -87.624778076)",791.363459505953,"RODNEY'S COCKTAIL LOUNGE",41.765690875,-87.621615609,"Grand Crossing","500~1000",2024-04-22 13:00:00,"daytime"
2023,"09/25/2023 09:00:00 AM","ASSAULT","STREET","2",41.819011385,-87.604772103,"(41.819011385, -87.604772103)",932.299006334284,"HOME OF THE BLUES",41.816546114,-87.615498032,"Wentworth","500~1000",2024-04-22 09:00:00,"daytime"
2023,"09/25/2023 03:40:00 PM","BATTERY","STREET","3",41.781901899,-87.594676891,"(41.781901899, -87.594676891)",675.149358368343,"UNIVERSITY OF CHICAGO CLOISTERS CLUB",41.787921484,-87.595806262,"Grand Crossing","500~1000",2024-04-22 15:40:00,"daytime"
2023,"09/25/2023 11:15:00 AM","CRIMINAL DAMAGE","STREET","5",41.665175581,-87.634221401,"(41.665175581, -87.634221401)",648.229228475741,"JACK'S LOUNGE",41.662677267,-87.641255514,"Calumet","500~1000",2024-04-22 11:15:00,"daytime"
2023,"09/25/2023 01:06:00 PM","ROBBERY","STREET","5",41.700516252,-87.623332893,"(41.700516252, -87.623332893)",390.830118600182,"MY FRIEND'S PLACE",41.697597206,-87.620710891,"Calumet","300~400",2024-04-22 13:06:00,"daytime"
2023,"09/25/2023 11:00:00 AM","ASSAULT","ALLEY","5",41.665175915,-87.634276295,"(41.665175915, -87.634276295)",644.116356236236,"JACK'S LOUNGE",41.662677267,-87.641255514,"Calumet","500~1000",2024-04-22 11:00:00,"daytime"
2023,"09/25/2023 05:30:00 PM","CRIMINAL DAMAGE","STREET","4",41.731016072,-87.555429739,"(41.731016072, -87.555429739)",349.075279213519,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","300~400",2024-04-22 17:30:00,"daytime"
